snippet_id,GPT-o4_pass_rate,GPT-o4_test_count,docstr_type,Claude4-sonnet_pass_rate,Claude4-sonnet_test_count,Qwen3-coder_pass_rate,Qwen3-coder_test_count
snippet_1,0.0,2,no_docstr,0.0,2,0.0,2
snippet_10,1.0,1,no_docstr,1.0,1,1.0,1
snippet_102,0.0,1,no_docstr,0.0,1,0.0,1
snippet_108,1.0,1,no_docstr,1.0,1,1.0,1
snippet_111,0.0,1,no_docstr,0.0,1,0.0,1
snippet_115,1.0,1,no_docstr,0.0,1,0.0,1
snippet_140,1.0,1,no_docstr,1.0,1,1.0,1
snippet_152,1.0,1,no_docstr,0.0,1,1.0,1
snippet_155,1.0,1,no_docstr,1.0,1,1.0,1
snippet_161,1.0,1,no_docstr,1.0,1,1.0,1
snippet_162,0.0,1,no_docstr,0.0,1,0.0,1
snippet_165,0.0,1,no_docstr,0.0,1,0.0,1
snippet_167,1.0,1,no_docstr,1.0,1,0.0,1
snippet_170,0.5,2,no_docstr,0.5,2,0.5,2
snippet_175,0.0,1,no_docstr,0.0,1,0.0,1
snippet_180,0.0,1,no_docstr,1.0,1,1.0,1
snippet_181,1.0,2,no_docstr,1.0,2,1.0,2
snippet_184,1.0,1,no_docstr,1.0,1,1.0,1
snippet_185,0.0,1,no_docstr,1.0,1,1.0,1
snippet_186,0.0,1,no_docstr,0.0,1,0.0,1
snippet_187,0.5,2,no_docstr,1.0,2,1.0,2
snippet_190,0.0,3,no_docstr,0.0,3,0.0,3
snippet_196,0.0,2,no_docstr,0.0,2,0.0,2
snippet_206,1.0,1,no_docstr,1.0,1,1.0,1
snippet_214,1.0,2,no_docstr,1.0,2,1.0,2
snippet_221,0.0,1,no_docstr,0.0,1,0.0,1
snippet_227,1.0,2,no_docstr,1.0,2,0.5,2
snippet_230,0.0,1,no_docstr,1.0,1,1.0,1
snippet_239,1.0,1,no_docstr,1.0,1,1.0,1
snippet_242,0.0,1,no_docstr,0.0,1,0.0,1
snippet_249,0.0,1,no_docstr,0.0,1,0.0,1
snippet_251,1.0,1,no_docstr,1.0,1,1.0,1
snippet_253,0.0,3,no_docstr,0.0,3,0.0,3
snippet_255,0.0,2,no_docstr,1.0,2,1.0,2
snippet_271,0.0,2,no_docstr,0.0,2,0.0,2
snippet_28,1.0,1,no_docstr,1.0,1,1.0,1
snippet_283,1.0,2,no_docstr,1.0,2,1.0,2
snippet_286,0.0,2,no_docstr,0.0,2,0.0,2
snippet_297,0.0,1,no_docstr,1.0,1,1.0,1
snippet_305,1.0,1,no_docstr,1.0,1,0.0,1
snippet_314,1.0,1,no_docstr,1.0,1,1.0,1
snippet_317,0.0,3,no_docstr,0.0,3,0.0,3
snippet_322,1.0,3,no_docstr,1.0,3,1.0,3
snippet_337,1.0,1,no_docstr,1.0,1,1.0,1
snippet_339,0.0,1,no_docstr,0.0,1,0.0,1
snippet_343,0.0,1,no_docstr,0.0,1,0.0,1
snippet_360,0.0,5,no_docstr,0.2,5,0.2,5
snippet_362,0.0,1,no_docstr,1.0,1,1.0,1
snippet_368,0.0,2,no_docstr,1.0,2,1.0,2
snippet_37,1.0,1,no_docstr,1.0,1,1.0,1
snippet_371,1.0,1,no_docstr,1.0,1,1.0,1
snippet_372,0.0,1,no_docstr,0.0,1,0.0,1
snippet_378,1.0,1,no_docstr,1.0,1,1.0,1
snippet_404,0.0,2,no_docstr,0.0,2,0.0,2
snippet_405,0.0,1,no_docstr,1.0,1,0.0,1
snippet_406,0.0,5,no_docstr,0.0,5,0.0,5
snippet_415,0.0,2,no_docstr,1.0,2,1.0,2
snippet_416,0.0,1,no_docstr,1.0,1,1.0,1
snippet_426,0.0,2,no_docstr,0.0,2,0.0,2
snippet_427,0.0,2,no_docstr,1.0,2,1.0,2
snippet_429,1.0,1,no_docstr,1.0,1,1.0,1
snippet_456,0.0,2,no_docstr,0.0,2,0.0,2
